feature,importance
roll_mean_3h,715130692083294.0
lag_1h,185233733108896.0
hour_of_day,53512493722388.0
roll_mean_24h,21600830492400.0
lag_2h,16484019203736.0
roll_std_3h,10578563613542.0
lag_3h,10046950329982.0
lag_168h,9007210417492.0
roll_mean_6h,8386118207862.0
roll_std_24h,6495222532276.0
lag_12h,4557727745802.0
line_name,4457696884372.0
roll_std_6h,4434524346958.0
roll_std_12h,2596326661532.0
roll_mean_12h,2152718862368.0
day_of_week,1263124838442.0
month,1083136504110.0
lag_24h,807562324476.0
temperature_2m,682646556312.0
lag_48h,560230513360.0
wind_speed_10m,263371375992.0
is_holiday,211206576008.0
season,149418249452.0
is_school_term,96110540788.0
precipitation,43441966028.0
is_weekend,26532236154.0
holiday_win_m1,21868186220.0
holiday_win_p1,19187546964.0
